batter,hittype,speed_A,True_speed
435,line_drive,95.7703340210799,96.20402545662108
435,popup,75.9712093275192,79.17992253858239
436,fly_ball,89.6777692221435,90.03146790978025
436,ground_ball,93.6017994901043,89.44203183761364
436,line_drive,97.24228334044321,97.23745801197592
436,popup,79.62658076447032,78.70484804826278
437,fly_ball,97.3446213848385,96.16333754913666
437,ground_ball,91.46391431320609,91.11076904815707
437,line_drive,102.456509664951,101.64138263003508
437,popup,91.6184935901573,85.6130074240545
438,fly_ball,96.37828686760459,95.02246971920995
438,ground_ball,96.69823027563424,97.89189941924053
438,line_drive,93.09522999484595,93.04113509995015
438,popup,66.0111123382165,75.21088580667
439,fly_ball,84.1890419043972,83.92994124410212
439,ground_ball,88.6822201598293,88.94515650907834
439,line_drive,93.6023681493937,94.18244981623278
439,popup,74.24028246183721,72.50163023084956
440,fly_ball,80.76981442996791,80.81002748339846
440,ground_ball,92.4271637896045,88.11216368786437
440,line_drive,93.8204955719393,93.67024564416819
440,popup,72.2492022629485,72.78513269714334
441,line_drive,92.7507782535242,92.38434000532249
442,fly_ball,88.3100712839428,88.15405072390308
442,ground_ball,87.9761545846892,90.55291762621445
442,line_drive,92.78952498744431,92.29779437106137
442,popup,72.1206694312806,70.99136899354272
443,fly_ball,91.08596164243839,90.87305710347289
443,ground_ball,89.30878367164065,88.74362448075057
443,line_drive,99.5497337430686,99.56709217612656
443,popup,84.66515112392474,76.61261571401769
444,fly_ball,94.629364979731,93.8159953213632
444,ground_ball,96.0207916790822,89.185677857437
444,line_drive,98.9649128451362,98.77116153879712
444,popup,62.018729976107,64.20589565707971
445,fly_ball,86.19367267262456,89.63625774764623
445,ground_ball,79.03606403088665,88.78188200454353
445,line_drive,93.5864424863746,93.90013733288536
445,popup,83.7320053905463,77.60190559099634
446,fly_ball,78.8599025315101,79.08881740454652
446,ground_ball,87.5272505360868,91.18196207374358
446,line_drive,90.18929393887996,89.63303397968399
446,popup,77.1874383902971,77.5392564247317
447,fly_ball,84.11529757015751,80.2341107510914
447,ground_ball,67.072564751425,83.04827203926764
447,line_drive,90.9689104852338,90.90389647550361
447,popup,69.7837136344475,72.58626009423675
448,fly_ball,89.61021836239308,89.38606270096962
448,ground_ball,92.46938913289632,90.2811058160295
448,line_drive,95.32848453604225,95.04852758058428
448,popup,76.79761913188014,76.66908708724866
449,fly_ball,90.2578741550963,89.78767677677644
449,ground_ball,91.77597115808476,90.17590486422999
449,line_drive,97.9899614406556,98.42598659755946
449,popup,74.29317939135379,77.53118920900407
450,fly_ball,97.22714380875514,96.159457175394
450,ground_ball,95.8013094626494,89.92751083615697
450,line_drive,94.84397822178096,94.87765994344987
450,popup,78.3439272490458,77.8408503239713
451,fly_ball,84.3937553431469,84.59596596944586
451,ground_ball,90.6189726879449,88.20156087124937
451,line_drive,98.27079513609075,90.90256700804949
452,fly_ball,93.9263316839865,94.11674324791603
452,ground_ball,84.2465180002312,87.6437308890184
